Funding Org:Name,Grant Programme:Code,Grant Programme:Title,Aims and objectives,Value per year,Start Date,End Date,Duration Numeric,Allocation Method,Recipient Sector,COFOG L0 Long Name
Cabinet Office,SCH-000002910,EU Referendum voter registration,,"500,000",07/05/16,06/05/17,1,General Grants - Un-competed,Civil Society,1. General public services
Cabinet Office,SCH-000003589,Cyber Security Skills,Increase the supply of Cyber Security Skills into UK Economy,"927,500",01/04/16,31/03/17,1,General Grants - Un-competed,Civil Society,9. Education
Cabinet Office,SCH-000003067,One Public Estate,,"15,500,000",01/04/16,31/03/18,2,General Grants - Competed,Local Government,1. General public services
Cabinet Office,SCH-000003069,Open Identity Exchange UK,,"500,000",06/04/16,05/04/17,1,General Grants - Un-competed,Private,1. General public services
Cabinet Office,SCH-000003078,Civil Service Welfare Bodies,,"296,000",01/04/16,31/03/18,2,General Grants - Un-competed,Civil Society,1. General public services
Cabinet Office,SCH-000003083,Chequers Grant in Aid,,"900,000",01/09/16,31/08/17,1,General Grants - Criteria Based,Private,1. General public services
CLG Local Government,SCH-000000797,X085A451-Safety Net DEL PROG VOTED,.,"25,189,000",01/04/16,31/03/17,1,General Grants - Criteria Based,Local Government,n/a
CLG Local Government,SCH-000000798,X085A454-BRR Top-Ups DEPT AME VOTED,.,"2,442,056,000",01/04/16,31/03/17,1,General Grants - Criteria Based,Local Government,n/a
CLG Local Government,SCH-000000799,X085A455-BRR Tariffs DEPT AME VOTED,.,"-2,442,056,000",01/04/16,31/03/17,1,General Grants - Criteria Based,Local Government,n/a
CLG Local Government,SCH-000000800,X085A457-Localising Council Tax Admin Subsidy DEL PROG VOTED,.,"77,000,000",01/04/16,31/03/17,1,General Grants - Criteria Based,Local Government,n/a
CLG Local Government,SCH-000000776,X085A321-NON-DOMESTIC RATES OUTTURN ADJUSTMENTS DEPT AME VOTED,.,"50,000,000",01/04/16,31/03/17,1,General Grants - Criteria Based,Local Government,n/a
CLG Local Government,SCH-000000777,X085A348-PFI SPECIAL GRANTE DEL PROG VOTED (JOINT SERVICE CENTRES),.,"27,800,000",01/04/16,31/03/17,1,General Grants - Competed,Local Government,n/a
CLG Local Government,SCH-000000780,X085A370-REVENUE SUPPORT GRANTS DEL PROG VOTED,.,"7,205,350,000",01/04/16,31/03/17,1,Formula,Local Government,n/a
CLG Local Government,SCH-000000788,X085A393-LG DEL Contingency DEL Prog Voted,.,"160,000",01/04/16,31/03/17,1,General Grants - Un-competed,Central Government,6. Housing and community amenities
CLG Local Government,SCH-000000794,X085A415-COUNCIL TAX BENEFIT - NEW BURDENS DEL PROG VOTED,,"12,500,000",01/04/16,31/03/17,1,Formula,Local Government,n/a
CLG Local Government,SCH-000000796,X085A448-New Homes Adjustment Grant DEL PROG VOTED,.,"23,145,000",01/04/16,31/03/17,1,General Grants - Criteria Based,Local Government,n/a
CLG Local Government,SCH-000000571,X085A579-Disregarded Amounts Reconsiliation payments,.,"2,563,000",01/04/16,31/03/17,1,General Grants - Criteria Based,Local Government,n/a
CLG Local Government,SCH-000000565,X085A570-New Empty Build Relief DEL PROG VOTED,.,"4,095,000",01/04/16,31/03/17,1,General Grants - Criteria Based,Local Government,n/a
CLG Local Government,SCH-000000551,X085A524-Retail Relief DEL PROG VOTED,,"143,911,000",01/04/16,31/03/17,1,General Grants - Criteria Based,Local Government,n/a
CLG Local Government,SCH-000000569,X085A577-Transitional Protection Payments,.,"21,601,000",01/04/16,31/03/17,1,General Grants - Criteria Based,Local Government,n/a
CLG Local Government,SCH-000000587,X085A610 - Final NNDR3 Deficit on Collection Fund DEPT AME,.,"296,871,000",01/04/16,31/03/17,1,General Grants - Criteria Based,Local Government,n/a
CLG Local Government,SCH-000000553,X085A525 - Business Rates 2% Inflation Cap DEL PROG VOTED,.,"171,474,000",01/04/16,31/03/17,1,Formula,Local Government,n/a
CLG Local Government,SCH-000000554,X085A527-Small Business Rates Relief on Second Property DEL PROG VTD,.,"1,165,000",01/04/16,31/03/17,1,General Grants - Criteria Based,Local Government,n/a
CLG Local Government,SCH-000000601,X085A650 BUSINESS RATES RELIEF S31 REPAYMENTS DEL PROG VOTED,.,"-6,863,000",01/04/16,31/03/17,1,General Grants - Criteria Based,Local Government,n/a
CLG Local Government,SCH-000000570,X085A578-Safety Net Outturn Payments,.,"114,490,000",01/04/16,31/03/17,1,General Grants - Criteria Based,Local Government,n/a
CLG Local Government,SCH-000000585,X085A604-Deficit on Collection DEP AME,.,"323,093,000",01/04/16,31/03/17,1,General Grants - Criteria Based,Local Government,n/a
CLG Local Government,SCH-000000586,X085A605-Business Rate S31 grant reconciliations DEP AME VTD,.,"37,217,000",01/04/16,31/03/17,1,General Grants - Criteria Based,Local Government,n/a
CLG Local Government,SCH-000000582,X085A595-Doubling of Small Business Rates DEL PROG VTD,.,"286,395,000",01/04/16,31/03/17,1,General Grants - Criteria Based,Local Government,n/a
CLG Local Government,SCH-000000547,X085A472-Independent Living Fund DEL Prog Voted,.,"176,900,000",01/04/16,31/03/17,1,General Grants - Criteria Based,Local Government,n/a
CLG Local Government,SCH-000000606,X085A526-Reoccupation Relief DEL Prog Voted,.,"5,101,000",01/04/16,31/03/17,1,General Grants - Criteria Based,Local Government,n/a
Department for Business Innovation and Skills,SCH-000003954,UK Defence Solutions Centre Grant Offer 2014-2018,"The Defence Growth Partnership was convened with the aim of securing a thriving UK defence sector through: ? growing the UK?s global market share by increasing defence exports; ? fostering greater collaboration and innovation across the sector, bringing products and services to the market which meet customer needs; and ? improving competitiveness through the whole value chain.","1,844,000",18/12/14,17/12/17,3,General Grants - Un-competed,Private,4. Economic affairs
Department for Business Innovation and Skills,SCH-000003286,RCUK - Scheme 2 years 16/17,,"16,400,066",01/04/16,31/03/18,2,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003287,RCUK - Scheme 3 years 16/17,,"90,844,001",01/04/16,31/03/19,3,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003288,RCUK - Scheme 4 years 16/17,,"24,669,066",01/04/16,31/03/20,4,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003289,RCUK - Scheme 5 years 16/17,,"22,184,655",01/04/16,31/03/21,5,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003290,RCUK - Scheme 6 years 16/17,,"1,288,699",01/04/16,31/03/22,6,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003291,RCUK - Scheme 7 years 16/17,,"433,475",01/04/16,31/03/23,7,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003292,RCUK - Scheme 10 years 15/16,,"61,332",01/04/15,31/03/25,10,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003293,RCUK - Scheme 2 years 15/16,,"114,703,990",01/04/15,31/03/17,2,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003294,RCUK - Scheme 3 years 15/16,,"232,977,239",01/04/15,31/03/18,3,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003295,RCUK - Scheme 4 years 15/16,,"119,918,433",01/04/15,31/03/19,4,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003296,RCUK - Scheme 5 years 15/16,,"102,330,655",01/04/15,31/03/20,5,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003297,RCUK - Scheme 6 years 15/16,,"5,159,352",01/04/15,31/03/21,6,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003298,RCUK - Scheme 7 years 15/16,,"7,298,930",01/04/15,31/03/22,7,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003299,RCUK - Scheme 8 years 15/16,,"17,763,632",01/04/15,31/03/23,8,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003300,RCUK - Scheme 10 years 14/15,,"1,277,475",01/04/14,31/03/24,10,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003302,RCUK - Scheme 3 years 14/15,,"180,999,495",01/04/14,31/03/17,3,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003303,RCUK - Scheme 4 years 14/15,,"99,455,499",01/04/14,31/03/18,4,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003304,RCUK - Scheme 5 years 14/15,,"121,929,031",01/04/14,31/03/19,5,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003305,RCUK - Scheme 6 years 14/15,,"11,689,308",01/04/14,31/03/20,6,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003306,RCUK - Scheme 7 years 14/15,,"4,014,138",01/04/14,31/03/21,7,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003307,RCUK - Scheme 8 years 14/15,,"15,617",01/04/14,31/03/22,8,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003308,RCUK - Scheme 9 years 14/15,,"51,302,408",01/04/14,31/03/23,9,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003309,RCUK - Scheme 10 years 13/14,,"2,726,990",01/04/13,31/03/23,10,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003312,RCUK - Scheme 4 years 13/14,,"167,114,673",01/04/13,31/03/17,4,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003313,RCUK - Scheme 5 years 13/14,,"128,656,475",01/04/13,31/03/18,5,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003314,RCUK - Scheme 6 years 13/14,,"20,081,324",01/04/13,31/03/19,6,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003315,RCUK - Scheme 7 years 13/14,,"2,821,280",01/04/13,31/03/20,7,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003316,RCUK - Scheme 9 years 13/14,,"104,434",01/04/13,31/03/22,9,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003317,RCUK - Scheme 10 years 12/13,,"11,028,320",01/04/12,31/03/22,10,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003320,RCUK - Scheme 5 years 12/13,,"145,661,012",01/04/12,31/03/17,5,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003321,RCUK - Scheme 6 years 12/13,,"18,725,052",01/04/12,31/03/18,6,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003322,RCUK - Scheme 7 years 12/13,,"5,478,614",01/04/12,31/03/19,7,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003323,RCUK - Scheme 8 years 12/13,,"258,550",01/04/12,31/03/20,8,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003324,RCUK - Scheme 10 years 11/12,,"4,546,499",01/04/11,31/03/21,10,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003325,RCUK - Scheme 11 years 11/12,,"30,672,382",01/04/11,31/03/22,11,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003328,RCUK - Scheme 6 years 11/12,,"43,154,370",01/04/11,31/03/17,6,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003329,RCUK - Scheme 7 years 11/12,,"5,223,818",01/04/11,31/03/18,7,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003330,RCUK - Scheme 8 years 11/12,,"29,565,820",01/04/11,31/03/19,8,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003331,RCUK - Scheme 9 years 11/12,,"1,023,425",01/04/11,31/03/20,9,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003332,RCUK - Scheme 10 years 10/11,,"3,818,933",01/04/10,31/03/20,10,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003335,RCUK - Scheme 7 years 10/11,,"33,516,908",01/04/10,31/03/17,7,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003336,RCUK - Scheme 8 years 10/11,,"5,339,549",01/04/10,31/03/18,8,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003337,RCUK - Scheme 9 years 10/11,,"130,156",01/04/10,31/03/19,9,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003338,RCUK - Scheme 10 years 09/10,,"619,716",01/04/09,31/03/19,10,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003339,RCUK - Scheme 11 years 09/10,,"924,008",01/04/09,31/03/20,11,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003341,RCUK - Scheme 8 years 09/10,,"8,463,345",01/04/09,31/03/17,8,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003342,RCUK - Scheme 9 years 09/10,,"31,019,227",01/04/09,31/03/18,9,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003343,RCUK - Scheme 10 years 08/09,,"7,196,685",01/04/08,31/03/18,10,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003344,RCUK - Scheme 11 years 08/09,,"3,589,975",01/04/08,31/03/19,11,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003345,RCUK - Scheme 12 years 08/09,,"432,359",01/04/08,31/03/20,12,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003348,RCUK - Scheme 9 years 08/09,,"7,029,281",01/04/08,31/03/17,9,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003349,RCUK - Scheme 10 years 07/08,,"843,548",01/04/07,31/03/17,10,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003350,RCUK - Scheme 12 years 07/08,,"125,570",01/04/07,31/03/19,12,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003351,RCUK - Scheme 13 years 07/08,,"232,052",01/04/07,31/03/20,13,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003353,RCUK - Scheme 11 years 06/07,,"6,283,639",01/04/06,31/03/17,11,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003354,RCUK - Scheme 13 years 06/07,,"902,776",01/04/06,31/03/19,13,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003355,RCUK - Scheme 14 years 06/07,,"225,203",01/04/06,31/03/20,14,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003356,RCUK - Scheme 13 years 05/06,,"82,021,366",01/04/05,31/03/18,13,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003357,RCUK - Scheme 13 years 04/05,,"60,359,412",01/04/04,31/03/17,13,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003358,RCUK - Scheme 15 years 03/04,,"23,398,546",01/04/03,31/03/18,15,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003268,HEFCE - Research grant (16/17),To support high quality research as part of the dual support system,"1,578,000,259",01/04/16,31/03/17,1,Formula,Civil Society,4. Economic affairs
Department for Business Innovation and Skills,SCH-000003267,HEFCE - Teaching grant (16/17),To support HE Teaching,"1,326,497,930",01/04/16,31/03/17,1,Formula,Civil Society,9. Education
Department for Business Innovation and Skills,SCH-000003269,HEFCE - Third Stream (16/17),to support third stream activity in higher education providers,"149,999,991",01/04/16,31/03/17,1,General Grants - Criteria Based; Formula,Civil Society; Private,4. Economic affairs
Department for Business Innovation and Skills,SCH-000003283,RCUK - Scheme 1 year 16/17,,"88,187,733",01/04/16,31/03/17,1,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003877,RCUK - Scheme 100+ years 01/02,,"952,046",01/04/01,31/03/21,20,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003878,RCUK - Scheme 100+ years 05/06,,"643,491",01/04/05,31/03/25,20,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003881,RCUK - Scheme 100+ years 02/03,,0,01/04/02,31/03/22,20,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003880,RCUK - Scheme 100+ years 11/12,,"105,603",01/04/11,31/03/31,20,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003879,RCUK - Scheme 100+ years 09/10,,"107,959",01/04/09,31/03/29,20,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003876,RCUK - Scheme 100+ years 00/01,,"389,124",01/04/00,31/03/20,20,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003875,RCUK - Scheme 100+ years 15/16,,"2,172,379",01/04/15,31/03/35,20,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003364,RCUK - Scheme 15 years 02/03,,"317,393",01/04/02,31/03/17,15,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003365,RCUK - Scheme 14 years 03/04,,"2,849,069",01/04/03,31/03/17,14,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003366,RCUK - Scheme 12 years 05/06,,"1,938,984",01/04/05,31/03/17,12,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003230,Innovation Grants - 16/17,"The aim to promote innovation, the commercialisation of research and development and support HMG?s industrial policy.","812,765,000",01/07/16,30/06/17,1,General Grants - Competed,Local Government; Civil Society; Public Organisations; Private,4. Economic affairs
Department for Business Innovation and Skills,SCH-000000315,Regional Growth Fund Programme,To help create and sustain private sector jobs in target regions,"14,804,862",01/07/15,30/06/18,3,General Grants - Competed,Private,4. Economic affairs
Department for Communities and Local Government,SCH-000004044,HCA PROPERTY & REGENERATION 2016/17,.,"-16,400,000",01/04/16,31/03/17,1,General Grants - Competed,Private,6. Housing and community amenities
Department for Communities and Local Government,SCH-000004042,HCA AFFORDABLE HOMES - AFFORDABLE HOMES PROGRAMME 2016/17,.,"252,629,000",01/04/16,31/03/17,1,General Grants - Competed,Local Government; Private,6. Housing and community amenities
Department for Communities and Local Government,SCH-000004046,"HCA HOUSING SUPPLY: LEGACY (GBB, LIF, CB) 2016/17",.,"11,696,000",01/04/16,31/03/17,1,General Grants - Competed,Local Government; Private,6. Housing and community amenities
Department for Communities and Local Government,SCH-000004043,HCA AFFORDABLE HOMES - KICKSTART 2016/17,.,"30,000",01/04/16,31/03/17,1,General Grants - Competed,Local Government; Private,6. Housing and community amenities
Department for Communities and Local Government,SCH-000004047,HCA Affordable Homes:Right to Buy 1-4-1 Replacement D 2016/17,.,"10,740,000",01/04/16,31/03/17,1,General Grants - Criteria Based,Local Government,6. Housing and community amenities
Department for Communities and Local Government,SCH-000004055,HCA CITY DEALS: BIRMINGHAM CITY DEAL 2016/17,.,"1,887,000",01/04/16,31/03/17,1,General Grants - Competed,Local Government,6. Housing and community amenities
Department for Communities and Local Government,SCH-000004056,HCA CITY DEALS: MANCHESTER CITY DEAL 2016/17,.,"9,017,000",01/04/16,31/03/17,1,General Grants - Competed,Local Government,6. Housing and community amenities
Department for Communities and Local Government,SCH-000004053,HCA SINGLE LAND PROGRAMME: 2016/17,.,"-21,462,000",01/04/16,31/03/17,1,General Grants - Competed,Public Organisations,6. Housing and community amenities
Department for Communities and Local Government,SCH-000004048,HCA AFFORDABLE HOUSING GUARANTEE 2016/17,.,"24,501,000",01/04/16,31/03/17,1,General Grants - Competed,Local Government,6. Housing and community amenities
Department for Communities and Local Government,SCH-000004050,HCA HOUSING SUPPLY:LARGE SITES 2016/17,.,"100,000",01/04/16,31/03/17,1,General Grants - Competed,Local Government; Private,6. Housing and community amenities
Department for Communities and Local Government,SCH-000004054,HCA CITY DEALS: PRESTON CITY DEAL 2016/17,.,"12,972,000",01/04/16,31/03/17,1,General Grants - Competed,Local Government,6. Housing and community amenities
Department for Communities and Local Government,SCH-000004051,HCA HOUSING SUPPLY:BUILD TO RENT 2016/17,.,"2,501,000",01/04/16,31/03/17,1,General Grants - Competed,Local Government; Private,6. Housing and community amenities
Department for Communities and Local Government,SCH-000004057,HCA HOUSING SUPPLY: ESTATE REGENERATION 2016/17,.,"280,000",01/04/16,31/03/17,1,General Grants - Competed,Local Government,6. Housing and community amenities
Department for Communities and Local Government,SCH-000000770,X085A184-PREVENTING HOMELESSNESS DEL PROG VOTED,.,"44,260,000",01/04/16,31/03/17,1,General Grants - Un-competed,Private,10. Social protection
Department for Communities and Local Government,SCH-000000771,X085A283-NEW HOMES BONUS DEL PROG VOTED,.,"1,461,855,000",01/04/16,31/03/17,1,Formula,Local Government,n/a
Department for Communities and Local Government,SCH-000000772,X085A293-PFI SPECIAL GRANT HOUSING (DCLG MAIN) DEL PROG VOTED,.,"192,100,000",01/04/16,31/03/17,1,General Grants - Criteria Based,Local Government,6. Housing and community amenities
Department for Communities and Local Government,SCH-000000774,X085A306-TENANT EMPOWERMENT DEL PROG VOTED,.,"62,000",01/04/16,31/03/17,1,General Grants - Competed,Private,6. Housing and community amenities
Department for Communities and Local Government,SCH-000000785,X085A390-Coastal Communities DEL Prog Voted,.,"9,499,000",01/04/16,31/03/17,1,General Grants - Competed,Local Government,6. Housing and community amenities
Department for Communities and Local Government,SCH-000000787,X085A392-LONDON SETTLEMENT DEL PROG VOTED,.,"9,499,000",01/04/16,31/03/17,1,Formula,Local Government,6. Housing and community amenities
Department for Communities and Local Government,SCH-000000781,X085A373-Troubled Families DEL Prog Voted,.,"170,380,000",01/04/16,31/03/17,1,General Grants - Criteria Based,Local Government,"8. Recreation, culture and religion"
Department for Communities and Local Government,SCH-000000782,X085A375-Regional Fire Control Centres DEL Prog Voted,.,"3,732,000",01/04/16,31/03/17,1,General Grants - Un-competed,Public Organisations,3. Public order and safety
Department for Communities and Local Government,SCH-000000783,X085A377-Local Enterprise Partnerships DEL Prog Voted,,"20,000,000",01/04/16,31/03/17,1,Formula,Public Organisations,4. Economic affairs
Department for Communities and Local Government,SCH-000000789,X085A395-CITY DEALS DEL PROG VOTED,.,"139,492,000",01/04/16,31/03/17,1,General Grants - Competed,Local Government,6. Housing and community amenities
Department for Communities and Local Government,SCH-000000761,X085A107-COMMUNITY RIGHT TO BUY DEL PROG VOTED,.,"1,004,000",01/04/16,31/03/17,1,General Grants - Competed,Civil Society,6. Housing and community amenities
Department for Communities and Local Government,SCH-000000762,X085A108-COMMUNITY RIGHT TO CHALLENGE DEL PROG VOTED,.,"650,000",01/04/16,31/03/17,1,General Grants - Competed,Civil Society,6. Housing and community amenities
Department for Communities and Local Government,SCH-000000765,X085A120-INTEGRATION & TACKLING EXTREMISM DEL PROG VTD,.,"7,414,000",01/04/16,31/03/17,1,General Grants - Un-competed,Civil Society,6. Housing and community amenities
Department for Communities and Local Government,SCH-000000802,X085A062-REGIONAL GROWTH FUND DEL PROG VOTED,To support jobs and growth across the UK,"31,122,000",01/04/16,31/03/17,1,General Grants - Criteria Based,Private,4. Economic affairs
Department for Communities and Local Government,SCH-000000562,X085A549-LOCAL GOVERNMENT FINANCE MAIN: FAMILY ANNEXES DEL PROG VOTED,.,"1,865,000",01/04/16,31/03/17,1,Formula,Local Government,n/a
Department for Communities and Local Government,SCH-000000556,X085A538-OMBUDSMAN REDRESS SCHEME DEL PROG VOTED,.,"428,000",01/04/16,31/03/17,1,General Grants - Un-competed,Local Government,n/a
Department for Communities and Local Government,SCH-000000567,X085A575-NEIGHBOURHOOD PLANNING:SUPPORTING COMMUNITIES DEL PROG VOTED,.,"3,891,000",01/04/16,31/03/17,1,General Grants - Competed,Public Organisations,6. Housing and community amenities
Department for Communities and Local Government,SCH-000000588,X085A612-UK HOLOCAUST MEMORIAL FUND DEL PROG VOTED,.,"989,000",01/04/16,31/03/17,1,General Grants - Competed,Civil Society,n/a
Department for Communities and Local Government,SCH-000000577,X085A594-LOCAL GROWTH FUND DEL PROG VOTED,.,"1,629,800,000",01/04/16,31/03/17,1,General Grants - Competed,Local Government,n/a
Department for Communities and Local Government,SCH-000000548,X085A489-MANDATING DATA TRANSPARENCY DEL PROG VOTED,.,"5,502,000",01/04/16,31/03/17,1,Formula,Local Government,1. General public services
Department for Communities and Local Government,SCH-000000583,X085A599-OPEN SOURCE PLANNING: SHALE GAS DEL PROG VOTED,.,"400,000",01/04/16,31/03/17,1,General Grants - Competed,Local Government,n/a
Department for Communities and Local Government,SCH-000000561,X085A547-EMERGENCY FUNDING FOR LAs:SEVERE WEATHER RECOVERY SCHEME DEL PROG VTD,.,"161,000",01/04/16,31/03/17,1,General Grants - Un-competed,Local Government,n/a
Department for Communities and Local Government,SCH-000000574,X085A583-OPEN SOURCE PLANNING:DATA ON BROWNFIELD LAND DEL PROG VOTED,.,"5,250,000",01/04/16,31/03/17,1,General Grants - Competed,Local Government,n/a
